Event	ID	Name			Wwise Object Path	Notes
	153085414	Light_Bounce			\Default Work Unit\Kodama (Main Character\Competences\Light_Bounce	
	202194903	Music_Play			\Default Work Unit\World\Music_Play	
	674522502	Land			\Default Work Unit\Kodama (Main Character\Land	
	779278001	Death			\Default Work Unit\Kodama (Main Character\Death	
	873092944	UI_Validate			\Default Work Unit\UI\UI_Validate	
	897878801	Sound_Bounce			\Default Work Unit\Kodama (Main Character\Competences\Sound_Bounce	
	957645723	LightDash			\Default Work Unit\Kodama (Main Character\Competences\LightDash	
	1078618618	UI_Chose			\Default Work Unit\UI\UI_Chose	
	1537061107	Wind			\Default Work Unit\World\Wind	
	1584379932	Droplets			\Default Work Unit\World\Droplets	
	1960922890	SoundDash			\Default Work Unit\Kodama (Main Character\Competences\SoundDash	
	2385628198	Footsteps			\Default Work Unit\Kodama (Main Character\Footsteps	
	3119891651	Magnet_Sound			\Default Work Unit\Kodama (Main Character\Competences\Magnet_Sound	
	3227181061	Music_Stop			\Default Work Unit\World\Music_Stop	
	3680590521	Lever_Activate			\Default Work Unit\World\Lever_Activate	
	3833651337	Jump			\Default Work Unit\Kodama (Main Character\Jump	

Game Parameter	ID	Name			Wwise Object Path	Notes
	252131915	Bullet_Time			\Default Work Unit\Bullet_Time	

Audio Bus	ID	Name			Wwise Object Path	Notes
	805203703	Master Secondary Bus			\Default Work Unit\Master Secondary Bus	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	980603520	Rev			\Default Work Unit\Master Audio Bus\Rev	

Effect plug-ins	ID	Name	Type				Notes
	1169110113	New_Wwise_Compressor	Wwise Compressor			
	3442768367	Hall_Large_Dark	Wwise RoomVerb			
	4180247629	New_Wwise_Parametric_EQ	Wwise Parametric EQ			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	7900533	Vent	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\Vent_F17FB28C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\World\Vent		11694144
	13347709	FTSTP  (5)	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\FTSTP  (5)_BBF1425D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Kodama (Main Character\Footsteps\FTSTP  (5)		15000
	14766695	Bounce_Sound3	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\Bounce_Sound3_B72B9312.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Kodama (Main Character\Competences\Sound_Bounce\Bounce_Sound3		71644
	51343728	FTSTP  (6)	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\FTSTP  (6)_13078F1C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Kodama (Main Character\Footsteps\FTSTP  (6)		8862
	63359783	LAND (1)	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\LAND (1)_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Kodama (Main Character\Land\LAND (1)		18586
	118640053	FTSTP  (9)	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\FTSTP  (9)_066C25D9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Kodama (Main Character\Footsteps\FTSTP  (9)		13018
	144800129	Goutte-11_L	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\Goutte-11.L_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\World\Droplet\Goutte-11_L		10738
	162810563	Bounce_Sound1	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\Bounce_Sound1_423BDD94.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\Kodama (Main Character\Competences\Sound_Bounce\Bounce_Sound1		32580
	221709418	Ui_2	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\Ui_2_5E5A11BF.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\UI\Ui_2		110092
	241263403	BLANK	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\BLANK_4C0A73FE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\World\Droplet\BLANK		878712
	274665557	Ui_1	D:\GGJWwise\GGJWwise\.cache\Windows\SFX\Ui_1_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\UI\Ui_1		53824
